system,split,PER_f1,LOC_f1,ORG_f1,MISC_f1
Danish BERT baseline,dev,91.6,91.3,82.4,0.0
Danish XLM-R baseline,dev,93.7,89.3,79.6,0.0
EN→DA XLM-R zero-shot,dev,89.8,86.5,77.3,0.0
NO→DA XLM-R zero-shot,dev,91.0,90.0,74.9,0.0
EN→DA mBERT + DA FT,dev,91.0,92.7,83.5,0.0
NO→DA mBERT + DA FT,dev,89.6,90.5,81.7,0.0
NO→DA XLM-R + DA FT,dev,93.1,90.6,78.8,0.0
Danish BERT baseline,test,90.4,83.0,80.7,0.0
Danish XLM-R baseline,test,92.3,83.9,77.2,0.0
EN→DA XLM-R zero-shot,test,90.2,79.6,73.0,0.0
NO→DA XLM-R zero-shot,test,90.6,79.1,74.6,0.0
EN→DA mBERT + DA FT,test,93.1,81.8,79.0,0.0
NO→DA mBERT + DA FT,test,92.3,84.9,81.2,0.0
NO→DA XLM-R + DA FT,test,92.8,84.7,80.5,0.0
