experiment,strict_precision,strict_recall,strict_f1,unlabeled_f1,loose_f1,eval_precision,eval_recall,eval_f1,abs_diff
danish_bert_baseline,0.8915343915343915,0.8891820580474934,0.8903566710700132,0.9299867899603699,0.9299867899603699,0.8828125,0.8944591029023746,0.8885976408912188,0.0017590301787943075
danish_xlmr_baseline,0.8927613941018767,0.8786279683377308,0.8856382978723404,0.925531914893617,0.925531914893617,0.888,0.8786279683377308,0.883289124668435,0.0023491732039053748
danish_xlmr_baseline_10pct,0.6604215456674473,0.7440633245382586,0.6997518610421837,0.7717121588089331,0.7717121588089331,0.6581986143187067,0.7519788918205804,0.7019704433497537,0.002218582307569994
danish_xlmr_baseline_25pct,0.8191214470284238,0.8364116094986808,0.8276762402088774,0.8877284595300261,0.8877284595300261,0.8102564102564103,0.8337730870712401,0.8218465539661899,0.005829686242687537
danish_xlmr_baseline_50pct,0.8629032258064516,0.8469656992084432,0.8548601864181092,0.9081225033288948,0.9081225033288948,0.8605898123324397,0.8469656992084432,0.8537234042553191,0.0011367821627901176
english_bert_baseline,0.8033298647242456,0.7991718426501035,0.8012454592631033,0.8521017125064868,0.8521017125064868,0.7811550151975684,0.7981366459627329,0.7895545314900154,0.011690927773087889
english_to_danish_mbert_finetuned_danish,0.907608695652174,0.8812664907651715,0.894243641231593,0.9344042838018741,0.9344042838018741,0.9,0.8786279683377308,0.8891855807743658,0.00505806045722712
english_to_danish_xlmr_finetuned_danish,0.9057142857142857,0.8364116094986808,0.869684499314129,0.9080932784636488,0.9080932784636488,0.8983050847457628,0.8390501319261213,0.8676671214188267,0.002017377895302208
english_to_danish_xlmr_zero_shot,0.8777777777777778,0.8337730870712401,0.8552097428958051,0.9066305818673884,0.9066305818673884,0.8777777777777778,0.8337730870712401,0.8552097428958051,0.0
english_to_danish_zero_shot,0.004149377593360996,0.002638522427440633,0.0032258064516129032,0.016129032258064516,0.016129032258064516,0.8070739549839229,0.7795031055900621,0.7930489731437599,0.789823166692147
english_xlmr_baseline,0.807070707070707,0.8271221532091098,0.8169734151329243,0.8629856850715746,0.8629856850715746,0.7906746031746031,0.8250517598343685,0.807497467071935,0.009475948060989281
norwegian_bert_baseline,0.9225806451612903,0.900990099009901,0.9116575591985427,0.9508196721311477,0.9508196721311477,0.920883164673413,0.900990099009901,0.910828025477707,0.0008295337208357179
norwegian_to_danish_mbert_finetuned_danish,0.8864864864864865,0.8654353562005277,0.8758344459279039,0.9212283044058746,0.9212283044058746,0.8746666666666667,0.8654353562005277,0.8700265251989391,0.005807920728964855
norwegian_to_danish_mbert_zero_shot,0.8474114441416893,0.820580474934037,0.8337801608579087,0.8820375335120644,0.8820375335120644,0.8428184281842819,0.820580474934037,0.8315508021390375,0.0022293587188711994
norwegian_to_danish_xlmr_finetuned_danish,0.8924731182795699,0.8759894459102903,0.8841544607190414,0.9267643142476697,0.9267643142476697,0.8853333333333333,0.8759894459102903,0.8806366047745358,0.003517855944505599
norwegian_to_danish_xlmr_zero_shot,0.8864265927977839,0.8443271767810027,0.8648648648648649,0.9027027027027027,0.9027027027027027,0.8842975206611571,0.8469656992084432,0.8652291105121294,0.0003642456472644495
norwegian_xlmr_baseline,0.928505957836847,0.9117911791179117,0.9200726612170754,0.9591280653950953,0.9591280653950953,0.9232876712328767,0.90999099909991,0.9165911151405259,0.003481546076549491
